,,,,S3-H-1/AO1/PV.CV,,S3-FIC-201/PID1/OUT.CV,,S3-FIC-201/AI1/PV.CV,,S3-LT-31/AI1/PV.CV,,S3-FT-23/AI1/PV.CV,
,,,,20:08:30,1699.73999,20:08:30,100,20:08:30,1548.706055,20:08:30,206.9382935,20:08:30,1854.786011
,,,,20:08:32,1699.73999,20:08:32,100,20:08:32,1804.574951,20:08:32,211.4085999,20:08:32,1971.964966
,,,,20:08:34,1699.73999,20:08:34,100,20:08:34,1891.694946,20:08:34,216.8358002,20:08:34,1930.371948
,,,,20:08:36,1699.73999,20:08:36,100,20:08:36,1920.161987,20:08:36,223.2866058,20:08:36,1920.286987
,,,,20:08:38,1699.73999,20:08:38,100,20:08:38,1927.029053,20:08:38,230.4393005,20:08:38,1916.281006
,,,,20:08:40,1699.73999,20:08:40,100,20:08:40,1927.780029,20:08:40,237.3146973,20:08:40,1912.793945
,,,,20:08:42,1699.73999,20:08:42,100,20:08:42,1924.828979,20:08:42,243.9398956,20:08:42,1909.755005
,,,,20:08:44,1699.73999,20:08:44,100,20:08:44,1926.562988,20:08:44,251.1417999,20:08:44,1906.894043
,,,,20:08:46,1699.73999,20:08:46,100,20:08:46,1925.848022,20:08:46,257.7132874,20:08:46,1907.340942
,,,,20:08:48,1699.73999,20:08:48,100,20:08:48,1922.540039,20:08:48,264.3562927,20:08:48,1902.92395
,,,,20:08:50,1699.73999,20:08:50,100,20:08:50,1917.587036,20:08:50,271.6029053,20:08:50,1897.327026
,,,,20:08:52,1699.73999,20:08:52,100,20:08:52,1913.223999,20:08:52,279.2114868,20:08:52,1893.964966
,,,,20:08:54,1699.73999,20:08:54,100,20:08:54,1904.337036,20:08:54,286.6948853,20:08:54,1891.623047
,,,,20:08:56,1699.73999,20:08:56,100,20:08:56,1902.995972,20:08:56,294.4735107,20:08:56,1889.603027
,,,,20:08:58,1699.73999,20:08:58,100,20:08:58,1901.689941,20:08:58,301.8764954,20:08:58,1885.186035
,,,,20:09:00,1699.73999,20:09:00,100,20:09:00,1901.099976,20:09:00,308.4346008,20:09:00,1885.400024
,,,,20:09:02,1699.73999,20:09:02,100,20:09:02,1898.847046,20:09:02,314.1655884,20:09:02,1880.803955
,,,,20:09:04,1699.73999,20:09:04,100,20:09:04,1895.253052,20:09:04,319.0249939,20:09:04,1873.276001
,,,,20:09:06,1699.73999,20:09:06,100,20:09:06,1888.689941,20:09:06,323.1914063,20:09:06,1868.715942
,,,,20:09:08,1699.73999,20:09:08,100,20:09:08,1882.859985,20:09:08,327.1119995,20:09:08,1867.197021
,,,,20:09:10,1699.73999,20:09:10,100,20:09:10,1880.125,20:09:10,331.0593872,20:09:10,1864.228027
,,,,20:09:12,1699.73999,20:09:12,100,20:09:12,1880.589966,20:09:12,334.8435974,20:09:12,1864.639038
,,,,20:09:14,1699.73999,20:09:14,100,20:09:14,1876.887939,20:09:14,338.5003967,20:09:14,1863.281006
,,,,20:09:16,1699.73999,20:09:16,100,20:09:16,1876.92395,20:09:16,342.3068848,20:09:16,1858.685059
,,,,20:09:18,1699.73999,20:09:18,100,20:09:18,1873.526001,20:09:18,346.6209106,20:09:18,1855.340942
,,,,20:09:20,1699.73999,20:09:20,100,20:09:20,1868.305054,20:09:20,351.0957947,20:09:20,1850.942017
,,,,20:09:22,1699.73999,20:09:22,100,20:09:22,1865.587036,20:09:22,355.5797119,20:09:22,1848.777954
,,,,20:09:24,1699.73999,20:09:24,100,20:09:24,1860.920044,20:09:24,360.2690125,20:09:24,1845.719971
,,,,20:09:26,1699.73999,20:09:26,100,20:09:26,1857.129028,20:09:26,365.1864929,20:09:26,1842.537964
,,,,20:09:28,1699.73999,20:09:28,100,20:09:28,1854.608032,20:09:28,370.3989868,20:09:28,1839.22998
,,,,20:09:30,1699.73999,20:09:30,100,20:09:30,1853.230957,20:09:30,375.8931885,20:09:30,1833.650024
,,,,20:09:32,1699.73999,20:09:32,100,20:09:32,1850.978027,20:09:32,381.0653992,20:09:32,1834.133057
,,,,20:09:34,1699.73999,20:09:34,100,20:09:34,1846.633057,20:09:34,386.6133118,20:09:34,1831.666016
,,,,20:09:36,1699.73999,20:09:36,100,20:09:36,1841.697021,20:09:36,392.8360901,20:09:36,1826.47998
